tile_n16,tile_16,landuse
"Tile(tms_x=39661, tms_y=45020, zoom=16)",16961,residential
"Tile(tms_x=40857, tms_y=42928, zoom=16)",25812,retail
"Tile(tms_x=38286, tms_y=46510, zoom=16)",2488,retail
"Tile(tms_x=39734, tms_y=45075, zoom=16)",18742,residential
"Tile(tms_x=41798, tms_y=46014, zoom=16)",28469,allotments
"Tile(tms_x=39892, tms_y=43784, zoom=16)",20613,grass
"Tile(tms_x=39974, tms_y=44699, zoom=16)",21482,garages
"Tile(tms_x=41901, tms_y=44229, zoom=16)",28926,commercial
"Tile(tms_x=41919, tms_y=44272, zoom=16)",29228,forest
"Tile(tms_x=39291, tms_y=45408, zoom=16)",6924,residential
"Tile(tms_x=39714, tms_y=44754, zoom=16)",18472,grass
"Tile(tms_x=39999, tms_y=42568, zoom=16)",22002,farmland
"Tile(tms_x=43785, tms_y=45400, zoom=16)",31884,retail
"Tile(tms_x=42984, tms_y=45779, zoom=16)",30729,allotments
"Tile(tms_x=44700, tms_y=45497, zoom=16)",33720,grass
"Tile(tms_x=39904, tms_y=43825, zoom=16)",20847,grass
"Tile(tms_x=42948, tms_y=44696, zoom=16)",30263,grass
"Tile(tms_x=40503, tms_y=44949, zoom=16)",24466,industrial
"Tile(tms_x=46130, tms_y=46961, zoom=16)",34686,n/a
"Tile(tms_x=46116, tms_y=44799, zoom=16)",34417,n/a
"Tile(tms_x=40765, tms_y=45222, zoom=16)",25303,grass
"Tile(tms_x=38281, tms_y=46450, zoom=16)",2144,grass
"Tile(tms_x=43953, tms_y=44854, zoom=16)",33276,grass
"Tile(tms_x=43006, tms_y=45790, zoom=16)",30956,garages
"Tile(tms_x=39625, tms_y=45052, zoom=16)",14761,n/a
"Tile(tms_x=38293, tms_y=46501, zoom=16)",3054,railway
"Tile(tms_x=46146, tms_y=46964, zoom=16)",34949,n/a
"Tile(tms_x=39609, tms_y=45061, zoom=16)",13247,grass
"Tile(tms_x=38299, tms_y=46452, zoom=16)",3413,grass
"Tile(tms_x=41720, tms_y=45043, zoom=16)",27991,residential
"Tile(tms_x=39029, tms_y=44233, zoom=16)",6481,n/a
"Tile(tms_x=39462, tms_y=44531, zoom=16)",8520,n/a
"Tile(tms_x=38165, tms_y=46575, zoom=16)",742,n/a
"Tile(tms_x=39647, tms_y=45055, zoom=16)",16289,meadow
"Tile(tms_x=39634, tms_y=45047, zoom=16)",15377,residential
"Tile(tms_x=42949, tms_y=44696, zoom=16)",30269,n/a
"Tile(tms_x=47944, tms_y=44806, zoom=16)",36150,allotments
"Tile(tms_x=38326, tms_y=46445, zoom=16)",4509,n/a
"Tile(tms_x=39499, tms_y=45190, zoom=16)",8755,residential
"Tile(tms_x=39655, tms_y=45117, zoom=16)",16672,n/a
"Tile(tms_x=39552, tms_y=45014, zoom=16)",9453,residential
"Tile(tms_x=43807, tms_y=45408, zoom=16)",32524,cemetery
"Tile(tms_x=39010, tms_y=47172, zoom=16)",6115,n/a
"Tile(tms_x=38289, tms_y=46450, zoom=16)",2706,residential
"Tile(tms_x=39669, tms_y=46190, zoom=16)",17357,grass
"Tile(tms_x=41753, tms_y=44353, zoom=16)",28321,n/a
"Tile(tms_x=39612, tms_y=45083, zoom=16)",13616,garages
"Tile(tms_x=47887, tms_y=44794, zoom=16)",35945,industrial
"Tile(tms_x=41137, tms_y=43777, zoom=16)",26770,grass
"Tile(tms_x=39014, tms_y=47164, zoom=16)",6212,grass
"Tile(tms_x=43803, tms_y=45376, zoom=16)",32374,residential
"Tile(tms_x=39661, tms_y=45058, zoom=16)",16979,industrial
"Tile(tms_x=39620, tms_y=45040, zoom=16)",14315,n/a
"Tile(tms_x=41751, tms_y=44355, zoom=16)",28312,farmland
"Tile(tms_x=40938, tms_y=44254, zoom=16)",26282,garages
"Tile(tms_x=39769, tms_y=44903, zoom=16)",19038,residential
"Tile(tms_x=41726, tms_y=45057, zoom=16)",28084,grass
"Tile(tms_x=38456, tms_y=45984, zoom=16)",4972,grass
"Tile(tms_x=38222, tms_y=46544, zoom=16)",1036,residential
"Tile(tms_x=39672, tms_y=46194, zoom=16)",17485,grass
"Tile(tms_x=38322, tms_y=46417, zoom=16)",4448,n/a
"Tile(tms_x=43791, tms_y=45409, zoom=16)",31980,grass
"Tile(tms_x=39705, tms_y=45016, zoom=16)",18288,residential
"Tile(tms_x=39641, tms_y=44939, zoom=16)",15858,n/a
"Tile(tms_x=48438, tms_y=44921, zoom=16)",36745,residential
"Tile(tms_x=39738, tms_y=44983, zoom=16)",18786,residential
"Tile(tms_x=46125, tms_y=44801, zoom=16)",34530,grass
"Tile(tms_x=39839, tms_y=44827, zoom=16)",19582,grass
"Tile(tms_x=43807, tms_y=45409, zoom=16)",32525,grass
"Tile(tms_x=38299, tms_y=46516, zoom=16)",3453,residential
"Tile(tms_x=39490, tms_y=45082, zoom=16)",8693,residential
"Tile(tms_x=38248, tms_y=46415, zoom=16)",1229,n/a
"Tile(tms_x=38271, tms_y=46452, zoom=16)",1663,retail
"Tile(tms_x=39661, tms_y=45008, zoom=16)",16957,residential
"Tile(tms_x=39616, tms_y=45011, zoom=16)",13954,residential
"Tile(tms_x=39599, tms_y=45064, zoom=16)",12174,residential
"Tile(tms_x=39600, tms_y=45063, zoom=16)",12294,residential
"Tile(tms_x=38274, tms_y=46478, zoom=16)",1793,grass
"Tile(tms_x=41145, tms_y=43747, zoom=16)",26856,garages
"Tile(tms_x=38275, tms_y=46500, zoom=16)",1853,garages
"Tile(tms_x=38309, tms_y=46449, zoom=16)",4000,garages
"Tile(tms_x=39614, tms_y=45040, zoom=16)",13785,residential
"Tile(tms_x=39651, tms_y=45045, zoom=16)",16455,grass
"Tile(tms_x=39635, tms_y=45057, zoom=16)",15461,residential
"Tile(tms_x=39873, tms_y=43540, zoom=16)",20332,residential
"Tile(tms_x=49675, tms_y=45133, zoom=16)",37411,residential
"Tile(tms_x=47863, tms_y=44819, zoom=16)",35568,residential
"Tile(tms_x=38278, tms_y=46461, zoom=16)",1991,grass
"Tile(tms_x=39627, tms_y=44993, zoom=16)",14868,residential
"Tile(tms_x=39604, tms_y=45108, zoom=16)",12756,grass
"Tile(tms_x=39700, tms_y=44774, zoom=16)",18183,residential
"Tile(tms_x=42961, tms_y=44730, zoom=16)",30470,residential
"Tile(tms_x=39603, tms_y=45028, zoom=16)",12607,residential
"Tile(tms_x=39564, tms_y=45069, zoom=16)",9854,industrial
"Tile(tms_x=39619, tms_y=45058, zoom=16)",14245,residential
"Tile(tms_x=39627, tms_y=45046, zoom=16)",14896,residential
"Tile(tms_x=39621, tms_y=45092, zoom=16)",14449,industrial
"Tile(tms_x=43941, tms_y=44845, zoom=16)",33062,residential
"Tile(tms_x=39508, tms_y=44977, zoom=16)",8835,residential
"Tile(tms_x=49686, tms_y=45150, zoom=16)",37608,n/a
"Tile(tms_x=39585, tms_y=45087, zoom=16)",10923,n/a
"Tile(tms_x=39463, tms_y=45362, zoom=16)",8531,residential
"Tile(tms_x=38288, tms_y=46431, zoom=16)",2602,grass
"Tile(tms_x=39573, tms_y=45104, zoom=16)",10211,residential
"Tile(tms_x=40775, tms_y=45229, zoom=16)",25472,residential
"Tile(tms_x=38313, tms_y=46475, zoom=16)",4161,residential
"Tile(tms_x=38317, tms_y=46468, zoom=16)",4327,grass
"Tile(tms_x=39636, tms_y=45013, zoom=16)",15509,residential
"Tile(tms_x=39609, tms_y=44927, zoom=16)",13184,n/a
"Tile(tms_x=39639, tms_y=45014, zoom=16)",15716,grass
"Tile(tms_x=38301, tms_y=46508, zoom=16)",3574,grass
"Tile(tms_x=39639, tms_y=45009, zoom=16)",15712,residential
"Tile(tms_x=39596, tms_y=45065, zoom=16)",11832,residential
"Tile(tms_x=39642, tms_y=45016, zoom=16)",15950,residential
"Tile(tms_x=38274, tms_y=46452, zoom=16)",1783,residential
"Tile(tms_x=38274, tms_y=46450, zoom=16)",1781,residential
"Tile(tms_x=39611, tms_y=45001, zoom=16)",13423,residential
"Tile(tms_x=39641, tms_y=45000, zoom=16)",15869,n/a
"Tile(tms_x=38288, tms_y=46521, zoom=16)",2678,grass
"Tile(tms_x=39610, tms_y=45053, zoom=16)",13352,grass
"Tile(tms_x=38278, tms_y=46504, zoom=16)",2020,grass
"Tile(tms_x=39672, tms_y=46178, zoom=16)",17475,grass
"Tile(tms_x=41707, tms_y=45070, zoom=16)",27778,residential
"Tile(tms_x=38293, tms_y=46476, zoom=16)",3032,residential
"Tile(tms_x=38304, tms_y=46478, zoom=16)",3751,residential
"Tile(tms_x=39610, tms_y=45047, zoom=16)",13346,residential
"Tile(tms_x=51753, tms_y=43974, zoom=16)",38182,residential
"Tile(tms_x=38284, tms_y=46450, zoom=16)",2314,grass
"Tile(tms_x=39661, tms_y=45025, zoom=16)",16964,garages
"Tile(tms_x=39613, tms_y=45052, zoom=16)",13697,grass
"Tile(tms_x=38302, tms_y=46401, zoom=16)",3590,n/a
"Tile(tms_x=39652, tms_y=45048, zoom=16)",16503,residential
"Tile(tms_x=39586, tms_y=45060, zoom=16)",10979,residential
"Tile(tms_x=40227, tms_y=45464, zoom=16)",23835,residential
"Tile(tms_x=40776, tms_y=45223, zoom=16)",25485,n/a
"Tile(tms_x=38279, tms_y=46482, zoom=16)",2060,residential
"Tile(tms_x=39609, tms_y=44990, zoom=16)",13199,residential
"Tile(tms_x=39595, tms_y=45015, zoom=16)",11709,grass
"Tile(tms_x=39615, tms_y=45082, zoom=16)",13918,residential
"Tile(tms_x=39641, tms_y=45018, zoom=16)",15880,grass
"Tile(tms_x=39609, tms_y=45069, zoom=16)",13255,residential
"Tile(tms_x=38314, tms_y=46469, zoom=16)",4201,residential
"Tile(tms_x=38320, tms_y=46472, zoom=16)",4412,grass
"Tile(tms_x=38316, tms_y=46472, zoom=16)",4294,grass
"Tile(tms_x=38321, tms_y=46470, zoom=16)",4437,residential
"Tile(tms_x=39602, tms_y=45046, zoom=16)",12516,commercial
"Tile(tms_x=38279, tms_y=46483, zoom=16)",2061,residential
"Tile(tms_x=39587, tms_y=45056, zoom=16)",11041,residential
"Tile(tms_x=38288, tms_y=46482, zoom=16)",2644,commercial
"Tile(tms_x=39617, tms_y=45039, zoom=16)",14075,residential
"Tile(tms_x=39645, tms_y=45049, zoom=16)",16172,residential
"Tile(tms_x=39609, tms_y=45050, zoom=16)",13236,grass
"Tile(tms_x=38279, tms_y=46485, zoom=16)",2063,residential
"Tile(tms_x=39581, tms_y=45089, zoom=16)",10691,residential
"Tile(tms_x=38293, tms_y=46481, zoom=16)",3037,residential
"Tile(tms_x=38285, tms_y=46494, zoom=16)",2407,grass
"Tile(tms_x=39617, tms_y=45044, zoom=16)",14080,grass
"Tile(tms_x=39617, tms_y=45045, zoom=16)",14081,grass
"Tile(tms_x=38300, tms_y=46496, zoom=16)",3501,construction
"Tile(tms_x=39998, tms_y=41601, zoom=16)",21925,grass
"Tile(tms_x=39028, tms_y=47165, zoom=16)",6474,grass
"Tile(tms_x=38292, tms_y=46477, zoom=16)",2962,residential
"Tile(tms_x=38290, tms_y=46451, zoom=16)",2789,grass
"Tile(tms_x=43002, tms_y=45814, zoom=16)",30909,allotments
"Tile(tms_x=38317, tms_y=46476, zoom=16)",4333,grass
"Tile(tms_x=38287, tms_y=46451, zoom=16)",2523,residential
"Tile(tms_x=39572, tms_y=44944, zoom=16)",10141,residential
"Tile(tms_x=39585, tms_y=45037, zoom=16)",10900,residential
"Tile(tms_x=39605, tms_y=44944, zoom=16)",12766,residential
"Tile(tms_x=38277, tms_y=46481, zoom=16)",1949,residential
"Tile(tms_x=40321, tms_y=44144, zoom=16)",24135,residential
"Tile(tms_x=38289, tms_y=46523, zoom=16)",2768,residential
"Tile(tms_x=39596, tms_y=45061, zoom=16)",11829,garages
"Tile(tms_x=39619, tms_y=45065, zoom=16)",14251,grass
"Tile(tms_x=39442, tms_y=44834, zoom=16)",8320,n/a
"Tile(tms_x=39615, tms_y=44997, zoom=16)",13854,residential
"Tile(tms_x=39615, tms_y=45040, zoom=16)",13888,residential
"Tile(tms_x=39568, tms_y=45078, zoom=16)",10005,grass
"Tile(tms_x=41799, tms_y=46005, zoom=16)",28478,construction
"Tile(tms_x=39528, tms_y=45066, zoom=16)",9017,n/a
"Tile(tms_x=38284, tms_y=46500, zoom=16)",2347,residential
"Tile(tms_x=39525, tms_y=45083, zoom=16)",8981,residential
"Tile(tms_x=43024, tms_y=45812, zoom=16)",31145,residential
"Tile(tms_x=41920, tms_y=44269, zoom=16)",29237,forest
"Tile(tms_x=39584, tms_y=45006, zoom=16)",10826,residential
"Tile(tms_x=43784, tms_y=45395, zoom=16)",31871,residential
"Tile(tms_x=38276, tms_y=46498, zoom=16)",1905,grass
"Tile(tms_x=48432, tms_y=44923, zoom=16)",36700,industrial
"Tile(tms_x=44355, tms_y=45157, zoom=16)",33550,grass
"Tile(tms_x=43804, tms_y=45378, zoom=16)",32411,industrial
"Tile(tms_x=38278, tms_y=46449, zoom=16)",1982,residential
"Tile(tms_x=39576, tms_y=45098, zoom=16)",10381,residential
"Tile(tms_x=39568, tms_y=45081, zoom=16)",10008,grass
"Tile(tms_x=39570, tms_y=45082, zoom=16)",10089,n/a
"Tile(tms_x=38295, tms_y=46480, zoom=16)",3165,residential
"Tile(tms_x=39477, tms_y=45040, zoom=16)",8608,residential
"Tile(tms_x=40407, tms_y=41972, zoom=16)",24289,grass
"Tile(tms_x=39667, tms_y=46191, zoom=16)",17265,grass
"Tile(tms_x=42952, tms_y=44721, zoom=16)",30310,residential
"Tile(tms_x=39629, tms_y=44980, zoom=16)",14995,residential
"Tile(tms_x=40774, tms_y=45235, zoom=16)",25453,grass
"Tile(tms_x=38255, tms_y=46451, zoom=16)",1343,residential
"Tile(tms_x=39625, tms_y=45055, zoom=16)",14764,residential
"Tile(tms_x=39613, tms_y=45009, zoom=16)",13661,residential
"Tile(tms_x=39593, tms_y=45106, zoom=16)",11562,n/a
"Tile(tms_x=39579, tms_y=45044, zoom=16)",10545,grass
"Tile(tms_x=46126, tms_y=44800, zoom=16)",34567,n/a
"Tile(tms_x=38297, tms_y=46451, zoom=16)",3279,residential
"Tile(tms_x=38299, tms_y=46484, zoom=16)",3433,residential
"Tile(tms_x=39563, tms_y=44960, zoom=16)",9802,industrial
"Tile(tms_x=39642, tms_y=45022, zoom=16)",15956,grass
"Tile(tms_x=38260, tms_y=46548, zoom=16)",1414,residential
"Tile(tms_x=39586, tms_y=44853, zoom=16)",10955,residential
"Tile(tms_x=39612, tms_y=45015, zoom=16)",13558,residential
"Tile(tms_x=39606, tms_y=45016, zoom=16)",12890,residential
"Tile(tms_x=39607, tms_y=45016, zoom=16)",12993,residential
"Tile(tms_x=38340, tms_y=46412, zoom=16)",4638,residential
"Tile(tms_x=39875, tms_y=42360, zoom=16)",20371,residential
"Tile(tms_x=39683, tms_y=46188, zoom=16)",17839,grass
"Tile(tms_x=39624, tms_y=45044, zoom=16)",14674,grass
"Tile(tms_x=38292, tms_y=46443, zoom=16)",2939,grass
"Tile(tms_x=39563, tms_y=45031, zoom=16)",9811,residential
"Tile(tms_x=39371, tms_y=44654, zoom=16)",7739,residential
"Tile(tms_x=39614, tms_y=45051, zoom=16)",13794,grass
"Tile(tms_x=38304, tms_y=46455, zoom=16)",3743,grass
"Tile(tms_x=39588, tms_y=45131, zoom=16)",11135,residential
"Tile(tms_x=38462, tms_y=45991, zoom=16)",5011,grass
"Tile(tms_x=39605, tms_y=45026, zoom=16)",12797,residential
"Tile(tms_x=39597, tms_y=45021, zoom=16)",11906,residential
"Tile(tms_x=46139, tms_y=46971, zoom=16)",34886,grass
"Tile(tms_x=39595, tms_y=44942, zoom=16)",11694,residential
"Tile(tms_x=39633, tms_y=45002, zoom=16)",15273,grass
"Tile(tms_x=38287, tms_y=46472, zoom=16)",2543,residential
"Tile(tms_x=38279, tms_y=46481, zoom=16)",2059,residential
"Tile(tms_x=38294, tms_y=46446, zoom=16)",3083,grass
"Tile(tms_x=38287, tms_y=46460, zoom=16)",2532,residential
"Tile(tms_x=38266, tms_y=46451, zoom=16)",1506,grass
"Tile(tms_x=39609, tms_y=45045, zoom=16)",13231,residential
"Tile(tms_x=39602, tms_y=45065, zoom=16)",12529,grass
"Tile(tms_x=39578, tms_y=45014, zoom=16)",10466,grass
"Tile(tms_x=39578, tms_y=45044, zoom=16)",10482,residential
"Tile(tms_x=39613, tms_y=45084, zoom=16)",13719,residential
"Tile(tms_x=39577, tms_y=45064, zoom=16)",10429,grass
"Tile(tms_x=43800, tms_y=45408, zoom=16)",32262,grass
"Tile(tms_x=41714, tms_y=45044, zoom=16)",27905,industrial
"Tile(tms_x=39611, tms_y=44552, zoom=16)",13401,residential
"Tile(tms_x=38297, tms_y=46478, zoom=16)",3295,residential
"Tile(tms_x=39601, tms_y=45009, zoom=16)",12378,residential
"Tile(tms_x=39598, tms_y=45013, zoom=16)",12004,garages
"Tile(tms_x=39584, tms_y=45079, zoom=16)",10848,residential
"Tile(tms_x=39616, tms_y=45053, zoom=16)",13993,grass
"Tile(tms_x=38295, tms_y=46481, zoom=16)",3166,residential
"Tile(tms_x=39610, tms_y=45092, zoom=16)",13383,industrial
"Tile(tms_x=38281, tms_y=46483, zoom=16)",2165,residential
"Tile(tms_x=38267, tms_y=46451, zoom=16)",1528,residential
"Tile(tms_x=38283, tms_y=46506, zoom=16)",2292,grass
"Tile(tms_x=39536, tms_y=45119, zoom=16)",9160,residential
"Tile(tms_x=39606, tms_y=45045, zoom=16)",12916,n/a
"Tile(tms_x=39612, tms_y=45000, zoom=16)",13546,residential
"Tile(tms_x=38277, tms_y=46451, zoom=16)",1930,grass
"Tile(tms_x=38253, tms_y=46428, zoom=16)",1305,n/a
"Tile(tms_x=42459, tms_y=45407, zoom=16)",29924,residential
"Tile(tms_x=39583, tms_y=45072, zoom=16)",10792,grass
"Tile(tms_x=39607, tms_y=45066, zoom=16)",13038,commercial
"Tile(tms_x=39470, tms_y=45204, zoom=16)",8570,n/a
"Tile(tms_x=39614, tms_y=45038, zoom=16)",13783,residential
"Tile(tms_x=38296, tms_y=46462, zoom=16)",3219,retail
"Tile(tms_x=39640, tms_y=45031, zoom=16)",15818,residential
"Tile(tms_x=39563, tms_y=44967, zoom=16)",9803,residential
"Tile(tms_x=39608, tms_y=44989, zoom=16)",13091,grass
"Tile(tms_x=38263, tms_y=46451, zoom=16)",1450,construction
"Tile(tms_x=38282, tms_y=46529, zoom=16)",2237,retail
"Tile(tms_x=39602, tms_y=45011, zoom=16)",12494,residential
"Tile(tms_x=38275, tms_y=46446, zoom=16)",1824,residential
"Tile(tms_x=38284, tms_y=46489, zoom=16)",2339,grass
"Tile(tms_x=39596, tms_y=45024, zoom=16)",11808,grass
"Tile(tms_x=43801, tms_y=45394, zoom=16)",32293,grass
"Tile(tms_x=39601, tms_y=45016, zoom=16)",12385,industrial
"Tile(tms_x=39649, tms_y=45062, zoom=16)",16379,residential
"Tile(tms_x=39333, tms_y=44176, zoom=16)",7249,residential
"Tile(tms_x=39640, tms_y=45069, zoom=16)",15836,industrial
"Tile(tms_x=39623, tms_y=45082, zoom=16)",14613,garages
"Tile(tms_x=39655, tms_y=45141, zoom=16)",16679,allotments
"Tile(tms_x=39584, tms_y=45072, zoom=16)",10845,grass
"Tile(tms_x=38283, tms_y=46505, zoom=16)",2291,grass
"Tile(tms_x=39428, tms_y=43479, zoom=16)",8158,residential
"Tile(tms_x=39622, tms_y=45011, zoom=16)",14473,residential
"Tile(tms_x=38287, tms_y=46481, zoom=16)",2552,residential
"Tile(tms_x=38277, tms_y=46447, zoom=16)",1926,residential
"Tile(tms_x=39584, tms_y=45034, zoom=16)",10834,n/a
"Tile(tms_x=39609, tms_y=45066, zoom=16)",13252,grass
"Tile(tms_x=39611, tms_y=45059, zoom=16)",13475,n/a
"Tile(tms_x=39666, tms_y=46191, zoom=16)",17218,grass
"Tile(tms_x=39577, tms_y=45049, zoom=16)",10420,grass
"Tile(tms_x=39601, tms_y=45001, zoom=16)",12374,grass
"Tile(tms_x=39687, tms_y=46191, zoom=16)",17956,grass
"Tile(tms_x=38323, tms_y=46471, zoom=16)",4487,residential
"Tile(tms_x=43294, tms_y=45899, zoom=16)",31308,n/a
"Tile(tms_x=38295, tms_y=46485, zoom=16)",3170,residential
"Tile(tms_x=39616, tms_y=45052, zoom=16)",13992,grass
"Tile(tms_x=39004, tms_y=47188, zoom=16)",6055,residential
"Tile(tms_x=43018, tms_y=45792, zoom=16)",31121,residential
"Tile(tms_x=39620, tms_y=45017, zoom=16)",14300,garages
"Tile(tms_x=38292, tms_y=46451, zoom=16)",2947,grass
"Tile(tms_x=38314, tms_y=46455, zoom=16)",4195,residential
"Tile(tms_x=39568, tms_y=45080, zoom=16)",10007,grass
"Tile(tms_x=39622, tms_y=45045, zoom=16)",14492,residential
"Tile(tms_x=38276, tms_y=46506, zoom=16)",1912,grass
"Tile(tms_x=39601, tms_y=45046, zoom=16)",12402,construction
"Tile(tms_x=38279, tms_y=46468, zoom=16)",2050,grass
"Tile(tms_x=38287, tms_y=46469, zoom=16)",2540,residential
"Tile(tms_x=39611, tms_y=45005, zoom=16)",13427,garages
"Tile(tms_x=39540, tms_y=45130, zoom=16)",9248,grass
"Tile(tms_x=38340, tms_y=46410, zoom=16)",4637,commercial
"Tile(tms_x=39642, tms_y=45019, zoom=16)",15953,grass
"Tile(tms_x=39618, tms_y=45060, zoom=16)",14172,residential
"Tile(tms_x=39622, tms_y=45038, zoom=16)",14486,grass
"Tile(tms_x=39590, tms_y=45064, zoom=16)",11262,grass
"Tile(tms_x=39634, tms_y=45041, zoom=16)",15371,residential
"Tile(tms_x=40791, tms_y=45228, zoom=16)",25669,retail
"Tile(tms_x=38275, tms_y=46541, zoom=16)",1868,retail
"Tile(tms_x=39609, tms_y=45070, zoom=16)",13256,residential
"Tile(tms_x=38305, tms_y=46516, zoom=16)",3836,residential
"Tile(tms_x=38291, tms_y=46489, zoom=16)",2896,grass
"Tile(tms_x=38279, tms_y=46465, zoom=16)",2047,grass
"Tile(tms_x=47858, tms_y=44802, zoom=16)",35416,residential
"Tile(tms_x=38276, tms_y=46457, zoom=16)",1883,residential
"Tile(tms_x=39019, tms_y=47178, zoom=16)",6321,residential
"Tile(tms_x=39017, tms_y=47172, zoom=16)",6286,residential
"Tile(tms_x=38318, tms_y=46475, zoom=16)",4361,n/a
"Tile(tms_x=39590, tms_y=45136, zoom=16)",11289,residential
"Tile(tms_x=44704, tms_y=45495, zoom=16)",33789,residential
"Tile(tms_x=44691, tms_y=45527, zoom=16)",33660,allotments
"Tile(tms_x=39586, tms_y=45074, zoom=16)",10991,residential
"Tile(tms_x=38341, tms_y=46410, zoom=16)",4652,commercial
"Tile(tms_x=38342, tms_y=46409, zoom=16)",4662,n/a
"Tile(tms_x=39576, tms_y=45092, zoom=16)",10375,residential
"Tile(tms_x=39627, tms_y=45059, zoom=16)",14908,grass
"Tile(tms_x=39566, tms_y=45093, zoom=16)",9924,n/a
"Tile(tms_x=39614, tms_y=45050, zoom=16)",13793,grass
"Tile(tms_x=39641, tms_y=44953, zoom=16)",15866,residential
"Tile(tms_x=39620, tms_y=45039, zoom=16)",14314,residential
"Tile(tms_x=38256, tms_y=46450, zoom=16)",1362,grass
"Tile(tms_x=39576, tms_y=45037, zoom=16)",10344,residential
"Tile(tms_x=38305, tms_y=46448, zoom=16)",3802,grass
"Tile(tms_x=43816, tms_y=45404, zoom=16)",32656,garages
"Tile(tms_x=38276, tms_y=46507, zoom=16)",1913,grass
"Tile(tms_x=38314, tms_y=46475, zoom=16)",4206,grass
"Tile(tms_x=39627, tms_y=45085, zoom=16)",14917,construction
"Tile(tms_x=39600, tms_y=44978, zoom=16)",12240,residential
